S0,K,T,r,sigma,M,N,method,price,delta,gamma,vega,vanna,volga,delta_analytical,gamma_analytical,vega_analytical,vanna_analytical,volga_analytical,delta_error_pct,gamma_error_pct,vega_error_pct,vanna_error_pct,volga_error_pct,time_ms,n_pde_solves,graph_nodes,graph_edges,graph_max_fan_in
95,100.0,0.5,0.05,0.3,51,50,Analytical,6.928198173791181,0.4928665895595162,0.01979296101281413,26.794720971097135,0.3058251949415246,0.36736024858869476,0.4928665895595162,0.01979296101281413,26.794720971097135,0.3058251949415246,0.36736024858869476,0.0,0.0,0.0,0.0,0.0,0.457945978268981,0,0,0,0
95,100.0,0.5,0.05,0.3,51,50,Bumping,6.89223732991151,0.5868967613946428,0.018538470102120747,26.903899020136677,-0.008574019914942,-0.38250127196270967,0.4928665895595162,0.01979296101281413,26.794720971097135,0.3058251949415246,0.36736024858869476,19.078219913255438,6.338065890602292,0.4074610411405669,102.80356885461363,204.1215736956252,73.29343678429723,5,0,0,0
95,100.0,0.5,0.05,0.3,51,50,AAD+Bumping,6.918892395376154,0.4924425126191887,0.01997174172132521,26.81440991575191,0.3158256306623697,0.23672393249150048,0.4928665895595162,0.01979296101281413,26.794720971097135,0.3058251949415246,0.36736024858869476,0.08604294738389211,0.9032539820360149,0.07348068552761701,3.2699842544879982,35.56081982170526,2979.7487701289356,5,33630,67066,2
95,100.0,0.5,0.05,0.3,51,50,Double-AAD,6.918892395376154,0.4924425126191887,0.0199717417213106,26.81440991575191,0.31563394844350723,0.2427344112131595,0.4928665895595162,0.01979296101281413,26.794720971097135,0.3058251949415246,0.36736024858869476,0.08604294738389211,0.9032539819622017,0.07348068552761701,3.207307201703284,33.924693228055084,50232.837232993916,3,33630,67066,2
95,100.0,0.5,0.05,0.3,51,50,Edge-Pushing,6.918892395376154,0.4924425126191887,0.0199717417213106,26.81440991575191,0.31563394844350723,0.2427344112131595,0.4928665895595162,0.01979296101281413,26.794720971097135,0.3058251949415246,0.36736024858869476,0.08604294738389211,0.9032539819622017,0.07348068552761701,3.207307201703284,33.924693228055084,49976.49871301837,1,33630,67066,2
95,100.0,1.0,0.05,0.15,51,50,Analytical,5.622017065205753,0.5264615723820839,0.027934341697862023,37.81611507348071,0.22191282524451808,-1.3993630926381806,0.5264615723820839,0.027934341697862023,37.81611507348071,0.22191282524451808,-1.3993630926381806,0.0,0.0,0.0,0.0,0.0,0.538818072527647,0,0,0,0
95,100.0,1.0,0.05,0.15,51,50,Bumping,5.5674671430766125,0.654640600420319,0.025144775484480488,38.183491497559885,-0.5831855470653236,-5.532975909900983,0.5264615723820839,0.027934341697862023,37.81611507348071,0.22191282524451808,-1.3993630926381806,24.347271436785533,9.986153400547243,0.9714811353977643,362.7993881934185,295.39244239104636,37.86774608306587,5,0,0,0
95,100.0,1.0,0.05,0.15,51,50,AAD+Bumping,5.605683941476289,0.5230502187849775,0.028527816720325117,37.909629932857726,0.315227006144303,-1.4719950464620268,0.5264615723820839,0.027934341697862023,37.81611507348071,0.22191282524451808,-1.3993630926381806,0.6479777017097474,2.1245355587116466,0.24728838273129664,42.0499269462976,5.190357971133512,3314.8401610087603,5,33630,67066,2
95,100.0,1.0,0.05,0.15,51,50,Double-AAD,5.605683941476289,0.5230502187849775,0.028527816720294988,37.909629932857726,0.31339170358449514,-1.5384490560584365,0.5264615723820839,0.027934341697862023,37.81611507348071,0.22191282524451808,-1.3993630926381806,0.6479777017097474,2.1245355586037915,0.24728838273129664,41.22288932114655,9.93923336637677,48023.83646508679,3,33630,67066,2
95,100.0,1.0,0.05,0.15,51,50,Edge-Pushing,5.605683941476289,0.5230502187849775,0.028527816720294988,37.909629932857726,0.31339170358449514,-1.5384490560584365,0.5264615723820839,0.027934341697862023,37.81611507348071,0.22191282524451808,-1.3993630926381806,0.6479777017097474,2.1245355586037915,0.24728838273129664,41.22288932114655,9.93923336637677,48089.222721988335,1,33630,67066,2
95,100.0,1.0,0.05,0.2,51,50,Analytical,7.510872178352699,0.5372601425532524,0.020905316532665346,37.73409634146095,0.21144295311761133,-1.878815511954098,0.5372601425532524,0.020905316532665346,37.73409634146095,0.21144295311761133,-1.878815511954098,0.0,0.0,0.0,0.0,0.0,0.5256601143628359,0,0,0,0
95,100.0,1.0,0.05,0.2,51,50,Bumping,7.470410731482158,0.6345991723804478,0.01902233702100495,37.947194781467395,-0.26394018892375026,-4.177894772263713,0.5372601425532524,0.020905316532665346,37.73409634146095,0.21144295311761133,-1.878815511954098,18.117671890679542,9.007180105205142,0.5647370963334887,224.8280848484642,122.36854793254359,69.61655616760254,5,0,0,0
95,100.0,1.0,0.05,0.2,51,50,AAD+Bumping,7.49862689032527,0.5363136046063863,0.02113623723684066,37.80074853091475,0.235794078610152,-2.6206751225373637,0.5372601425532524,0.020905316532665346,37.73409634146095,0.21144295311761133,-1.878815511954098,0.17617870225171892,1.104602763677326,0.1766365062797856,11.516640840234482,39.48549529547372,3327.321857213974,5,33630,67066,2
95,100.0,1.0,0.05,0.2,51,50,Double-AAD,7.49862689032527,0.5363136046063863,0.02113623723686535,37.80074853091475,0.23556954537452704,-2.593342351019432,0.5372601425532524,0.020905316532665346,37.73409634146095,0.21144295311761133,-1.878815511954098,0.17617870225171892,1.104602763795423,0.1766365062797856,11.410449911516196,38.030707885851804,50187.72996705957,3,33630,67066,2
95,100.0,1.0,0.05,0.2,51,50,Edge-Pushing,7.49862689032527,0.5363136046063863,0.02113623723686535,37.80074853091475,0.23556954537452704,-2.593342351019432,0.5372601425532524,0.020905316532665346,37.73409634146095,0.21144295311761133,-1.878815511954098,0.17617870225171892,1.104602763795423,0.1766365062797856,11.410449911516196,38.030707885851804,50071.62116304971,1,33630,67066,2
95,100.0,1.0,0.05,0.3,51,50,Analytical,11.273324407848385,0.5579165546642979,0.01385020471536354,37.49942926684678,0.2030376746684524,-2.8101341604072707,0.5579165546642979,0.01385020471536354,37.49942926684678,0.2030376746684524,-2.8101341604072707,0.0,0.0,0.0,0.0,0.0,0.5167950876057148,0,0,0,0
